ID,name,age,region,experience,hours_per_week,overtime,performance,education,salary
2516,Jeffrey Juarez,23,Metro,5,51,0,100,Highschool,75965.05
3586,David Wright,42,Seoul,5,53,0,98,Master,99479.86
4316,Jessica Weber,34,Seoul,9,37,0,88,Highschool,77484.5
4967,David Carpenter,60,Metro,22,56,0,63,Master,139440.01
2100,Joseph Zimmerman,50,Seoul,29,34,1,77,Bachelor,124170.59
3600,Alexander Ford,44,Seoul,25,47,0,98,Highschool,121499.72
4122,Christina Olson,54,Seoul,29,46,1,88,Master,152920.42
30,David Wolfe,24,Metro,1,50,1,56,Bachelor,79755.43
66,Jonathan Smith,44,Metro,10,30,0,66,Highschool,87593.86
839,Paul Mclaughlin,57,Metro,29,50,1,86,Master,150137.07
3907,Alexandria Hanson,58,Metro,18,51,1,85,Highschool,118836.08
3774,Keith Cox,40,Rural,12,53,0,97,Highschool,95178.88
4636,Thomas Blackburn,55,Rural,17,42,0,73,Master,110512.92
3162,Sherry Sims,39,Rural,20,39,0,78,Bachelor,97594.33
2660,David Neal,60,Metro,22,55,0,61,Master,120436.92
4616,Jason Leon,47,Metro,13,34,0,82,Highschool,96873.28
4629,Danielle Hale,52,Seoul,12,42,1,65,Master,115867.74
2452,Michele Lawson,56,Seoul,20,45,0,70,Highschool,116876.13
2847,Logan Cline,51,Metro,5,42,0,78,Bachelor,89537.34
1145,Mary Morrow,44,Rural,24,56,0,59,Highschool,95186.8
3079,Tyler Shields,22,Seoul,25,46,0,80,Bachelor,104453.7
1104,Darren Norton,26,Metro,18,52,0,63,Bachelor,88040.73
169,Robert Lara,38,Metro,29,55,1,57,Bachelor,122243.98
1671,Susan Dyer,23,Seoul,14,54,1,68,Bachelor,103099.83
2571,Stacy Kramer,27,Rural,24,46,1,65,Master,106006.05
2378,Lee Arnold,51,Rural,24,57,1,64,PhD,127987.26
4396,Amanda Chavez,34,Rural,6,30,0,93,Bachelor,80703.62
4258,Tammy Smith,51,Rural,29,37,0,63,Bachelor,106521.5
3863,Christopher Landry,26,Seoul,20,44,0,52,Highschool,81491.29
24,Mary Morgan,43,Rural,30,39,0,63,Master,104831.25
2634,Tyler Clark,47,Metro,10,37,1,75,Highschool,99040.28
3341,Shane Lewis,47,Metro,13,54,0,95,Highschool,99936.48
2216,Nicholas Powers,52,Rural,4,57,0,74,Highschool,94329.72
3683,Dana Mack,60,Metro,0,31,0,72,Bachelor,95022.34
4725,Katherine Williams DVM,25,Seoul,25,59,0,92,Bachelor,102332.06
1908,Nicole Martinez PhD,40,Seoul,24,38,1,66,Bachelor,106635.98
85,Gerald Sullivan,29,Seoul,14,38,1,54,Bachelor,87992.82
228,Chase Fields,58,Metro,27,43,0,53,Master,132514.53
297,Miss Gina Bailey,42,Metro,13,53,0,85,Bachelor,101801.66
1002,Jorge Booth,48,Rural,23,37,1,51,Bachelor,105185.77
2139,David Graham,48,Metro,26,33,1,58,Master,129851.81
712,Adam Mitchell,24,Seoul,20,37,0,86,Master,94915.21
2802,Jennifer Hanson,56,Seoul,26,47,1,76,Master,144568.23
2528,Brenda Todd,56,Rural,12,33,1,58,Bachelor,104704.52
3753,Kyle Johnson,50,Seoul,22,49,1,66,Bachelor,128321.63
3322,Timothy Banks,32,Seoul,25,34,0,55,Master,96058.75
3182,Lisa Donaldson,29,Rural,1,33,0,100,Bachelor,71689.49
4184,Amy Holmes,53,Seoul,1,55,0,66,Bachelor,98101.29
1616,Felicia Powell,40,Seoul,23,51,0,64,Bachelor,113592.05
3025,Jesse Moore,27,Seoul,29,41,0,76,Master,114351.44
1414,Lindsey Rangel,45,Seoul,5,31,1,57,Bachelor,83269.56
764,Brooke Bowen,49,Metro,12,31,0,75,Bachelor,99394.51
656,Joseph Logan,47,Metro,7,47,0,67,Master,105594.11
4798,Valerie Gates,57,Metro,21,37,0,68,Highschool,100310.17
3850,Paul Mason,45,Seoul,24,43,0,95,Bachelor,130012.84
4154,Edward Mathis,24,Metro,28,40,0,91,Bachelor,106519.88
469,Kelly Gonzalez,33,Rural,18,43,0,74,Master,91358.32
158,Heather Jackson,54,Metro,10,43,0,50,Master,115619.28
1296,Sarah Terrell,22,Rural,24,36,1,87,Highschool,81255.69
498,Brett Wells,44,Seoul,4,46,1,60,Bachelor,94846.95
4741,Jeremy Jones,33,Metro,19,38,1,65,Master,99436.52
2941,Nichole Gardner,52,Rural,27,30,0,68,PhD,115750.81
3457,Michael Johnson,34,Rural,7,60,0,66,Bachelor,84179.88
374,Joshua Miller,37,Seoul,18,36,0,84,Highschool,96524.33
80,Kevin Morgan,22,Seoul,4,33,0,79,Bachelor,71021.65
1554,Matthew Martinez,43,Seoul,6,59,1,91,Master,125637.88
1670,Zachary Scott,41,Seoul,9,43,0,67,Master,94440.96
2132,Sharon Davis,50,Seoul,19,35,1,69,Bachelor,118663.65
4440,Peter Robinson,30,Seoul,26,55,0,61,Master,114139.01
466,Gabriel Mendoza,44,Metro,25,58,0,100,Highschool,120147.02
249,Amanda Taylor,39,Metro,14,47,0,83,Bachelor,107895.72
932,Tara Haynes,34,Rural,16,55,1,99,Highschool,88206.8
1336,Steven Briggs,34,Metro,3,46,0,68,Highschool,69051.21
4525,Katie Jennings,45,Rural,15,56,1,58,Highschool,94794.43
1339,Carrie Hall,25,Metro,14,30,1,59,Highschool,71336.89
1407,Shawn Collins,23,Rural,20,41,1,60,Bachelor,78198.54
1091,Mary Brown,57,Rural,13,60,1,94,Bachelor,112218.73
4210,Justin Coleman,54,Seoul,9,48,0,60,PhD,134397.72
743,John Bell,56,Metro,28,50,1,66,Highschool,130327.8
2324,Logan Ortiz,53,Seoul,0,53,0,85,PhD,112752.97
3602,Tamara Osborne,38,Metro,24,53,0,91,Bachelor,120491.23
2124,Dr. Katherine Gilbert,37,Metro,1,52,0,99,Highschool,87418.78
2095,Madison Griffin,41,Seoul,5,42,1,86,Master,107479.75
241,James Lloyd,57,Rural,18,36,0,56,Master,98502.6
2352,Mr. Joshua Stanley MD,41,Seoul,29,42,1,98,Bachelor,131732.29
1371,Samuel James,38,Rural,0,46,0,95,Bachelor,74111.71
1058,Christopher Frye,50,Metro,20,59,0,62,PhD,126573.81
4817,Cynthia Myers,24,Seoul,17,55,0,65,Highschool,77573.49
200,Thomas Calderon,24,Seoul,5,49,0,78,Bachelor,78446.03
2281,George Rogers,29,Seoul,13,46,1,53,Master,99394.59
4750,Christopher Hicks,26,Metro,6,31,0,79,Bachelor,72302.96
2221,Christopher Flores,28,Metro,27,35,0,92,Master,98296.86
4772,Ann Blake PhD,38,Rural,4,53,1,77,Highschool,72474.96
2820,Aimee Coleman,34,Metro,11,50,0,70,Highschool,89551.91
3151,Michelle Gomez MD,53,Rural,19,39,0,86,Highschool,90227.44
4257,Brenda Jackson,38,Metro,0,55,1,75,Highschool,88059.35
3108,Jason Gomez,53,Seoul,3,57,1,65,Highschool,100223.11
1974,Victor Thompson,59,Seoul,3,31,0,50,PhD,111898.6
1376,Tommy Sims,48,Metro,15,58,0,71,Bachelor,106726.02
3969,Susan Hansen,50,Seoul,18,59,0,60,Bachelor,120159.4
4063,Elizabeth Zavala,37,Metro,5,41,1,87,Bachelor,101615.47
4446,Erin Huang,30,Seoul,7,37,1,91,Highschool,88327.04
3558,Karen Davis,34,Seoul,29,55,1,70,PhD,125132.67
965,Jill Yu,33,Seoul,21,49,0,50,Master,100593.58
180,Patricia Martin,47,Rural,10,58,1,51,PhD,105650.8
3699,Amy Morris,31,Seoul,26,49,0,88,Highschool,105044.08
3822,Sarah Dean,22,Rural,22,48,0,91,Bachelor,83154.63
4879,Katie Ferguson,53,Metro,18,52,0,58,PhD,133684.54
3900,Alyssa Bell,44,Rural,13,56,0,71,Bachelor,98311.96
4488,William Vasquez,25,Metro,23,55,1,72,Bachelor,93693.08
3239,Christy Boyd,39,Metro,4,58,1,57,PhD,114804.58
2975,Joshua Carr,44,Rural,9,59,1,51,Bachelor,103167.46
3581,Kyle Douglas,31,Seoul,3,57,0,52,Highschool,76818.48
2888,Aaron Kim,58,Seoul,19,34,0,95,PhD,140257.65
2576,Shannon Elliott,24,Seoul,13,47,0,60,Highschool,76373.1
1420,Katherine Smith,31,Rural,5,46,0,56,Highschool,63037.09
3908,Jonathan Ward,44,Rural,21,33,0,51,Highschool,77741.36
4674,Christopher Foster,49,Metro,0,30,0,90,Bachelor,82192.59
4903,Janet Jones,49,Metro,25,38,0,65,Highschool,110560.63
1861,Patricia Andrews,57,Metro,15,31,0,75,Bachelor,113784.79
9,Matthew Gonzalez,32,Rural,26,54,0,90,Highschool,86803.87
2895,Gabriella Barnes,49,Seoul,24,60,1,53,Highschool,121721.19
2848,Melissa Oneal,54,Metro,12,34,1,57,Bachelor,112620.1
3665,Marcus Walker,33,Seoul,3,48,0,90,Bachelor,84795.52
145,Daniel Sharp,46,Seoul,29,53,0,99,Highschool,121366.28
2105,Jessica Nguyen,26,Seoul,5,51,0,75,Bachelor,85962.63
3144,Amy Mclaughlin,44,Metro,8,51,1,100,Master,120179.56
842,Robert Ramirez,54,Metro,11,34,1,57,Highschool,91225.61
1129,Thomas Washington,50,Seoul,17,50,0,71,Highschool,106756.63
152,Anthony Morgan,60,Seoul,9,41,1,71,Bachelor,110441.36
3592,Hannah Johnson,38,Seoul,25,51,0,96,PhD,132320.44
1053,Kim Browning,54,Rural,18,42,0,82,Bachelor,108710.84
1591,Alexander Johnson,28,Metro,25,38,1,61,Highschool,92216.27
3009,Suzanne Hansen,55,Metro,6,37,1,96,Master,124447.5
2030,Renee Russo,44,Rural,7,58,0,80,Highschool,87137.11
3419,Travis Moore,50,Rural,18,54,1,88,Bachelor,123666.17
1808,Heather Romero,54,Rural,7,33,1,87,Highschool,98007.7
2697,Laura Garcia,35,Rural,11,33,0,77,PhD,101415.93
3040,Troy Cook,25,Seoul,6,39,0,72,Master,89267.21
473,Valerie Bates,56,Seoul,12,32,1,80,Highschool,107413.72
3290,Robert Clayton,50,Seoul,24,31,0,73,Master,126713.78
4075,Michelle Williams,24,Rural,2,57,0,54,Bachelor,63107.18
3497,Roger Jackson,50,Seoul,7,50,0,97,Highschool,100928.63
280,Edward Moreno,54,Seoul,16,42,0,81,Bachelor,113870.33
1742,Patrick Hendricks,29,Metro,30,43,1,73,Master,122637.71
4625,Julie Norton,29,Metro,16,43,0,73,Bachelor,93251.46
2887,Alyssa Wilson,47,Metro,27,32,0,64,Master,106197.69
1942,Erin Hamilton,25,Metro,22,44,0,68,Master,97757.07
101,Jeffery Doyle,56,Metro,8,40,1,83,Bachelor,111435.17
2805,Todd Bailey,59,Metro,7,35,1,97,Master,123837.93
3571,Derrick Peck,29,Metro,18,46,1,77,PhD,122699.69
3685,Karen Riley,54,Seoul,18,38,0,70,Master,112750.21
3662,Andre Weiss,37,Seoul,17,58,0,52,Master,106160.28
531,Donna Johnson,25,Rural,3,58,0,90,Highschool,69296.79
1887,Rhonda Lee,49,Seoul,24,44,1,81,Bachelor,125602.73
682,Patrick Lawrence,59,Metro,2,48,0,94,Master,111073.24
3795,Christopher Edwards,47,Seoul,7,56,1,62,Master,105765.36
3945,Kathy Evans,50,Rural,18,42,0,53,Highschool,89675.66
4667,Justin Jones,34,Metro,24,51,0,78,Master,122727.47
2019,Eric Johnson,57,Metro,12,49,0,62,Highschool,105999.57
1097,Edgar Miller,41,Metro,20,43,0,93,PhD,129837.13
830,Kelly Coleman,54,Seoul,20,32,0,94,Master,118064.3
2806,Anthony Williams,29,Seoul,3,53,0,89,Highschool,79833.73
3830,Yesenia Jensen,49,Rural,10,47,0,67,Bachelor,84944.25
4382,Edward Cunningham,24,Metro,29,57,1,79,Bachelor,119589.72
3892,Steven Ramos,27,Seoul,9,30,0,88,Bachelor,86234.6
765,Yvonne Pittman,31,Seoul,11,33,0,72,Master,84937.77
2768,Brian Meyer,41,Rural,26,52,0,56,Highschool,102148.05
4329,Jennifer Cox,41,Metro,15,30,0,75,Bachelor,84615.43
3296,Stephanie Rodriguez,41,Metro,5,48,0,69,Highschool,77251.88
2195,Maria Anderson,38,Rural,15,48,0,91,Highschool,85167.9
2358,Andrea Stewart,59,Metro,16,59,1,57,Highschool,114366.27
3426,Sara Gardner,34,Rural,16,54,0,63,Bachelor,80461.21
3980,Debra Lee,28,Metro,18,50,0,80,Master,103392.42
912,Christopher Parker,50,Seoul,8,59,1,54,Master,120934.69
3146,Adam Garcia,31,Metro,24,44,1,70,Bachelor,108908.79
1000,Laura Miller,48,Metro,20,57,0,60,Master,125198.53
3654,Samantha Williams,58,Metro,22,30,1,58,PhD,132494.14
2484,Kimberly Carter,42,Metro,14,41,1,89,Highschool,92493.64
4077,Jennifer Marks PhD,22,Rural,14,45,1,76,Bachelor,79542.72
2371,Brendan Castaneda,24,Metro,22,54,0,71,Master,111270.28
4839,Carl James,44,Seoul,17,51,1,50,Bachelor,102058.8
34,Maria Herman,30,Metro,11,39,1,56,PhD,110296.51
3790,Daniel Brown,36,Seoul,2,33,0,85,Bachelor,81089.42
1021,Samantha Walker,28,Seoul,14,35,0,66,Bachelor,91297.25
1648,Sherri Alvarado,60,Rural,18,56,1,50,Highschool,96706.69
734,Crystal Stephens,30,Rural,30,38,0,53,Highschool,77729.42
4583,Stephanie Cantrell,51,Seoul,0,50,1,84,PhD,132615.42
3275,Joseph Thompson,59,Seoul,20,36,1,93,Master,143575.71
1621,Melissa Smith,49,Rural,12,34,0,80,Highschool,82108.66
3136,Justin Smith,34,Rural,28,32,1,68,Highschool,83417.97
2690,Daniel Tran,59,Metro,14,42,0,86,Master,112629.03
2708,Sara Lawrence,40,Metro,3,60,0,64,Bachelor,87313.48
298,Melissa Ray,53,Seoul,3,53,0,80,Bachelor,100178.91
2340,Jillian Ferguson,35,Metro,14,55,0,81,Master,109703.01
654,Stephanie Cooper,29,Rural,21,44,0,73,Bachelor,97043.38
3775,Troy Cisneros,22,Seoul,26,33,0,93,Highschool,92155.2
1256,Thomas Gilbert,44,Metro,17,59,0,95,PhD,128070.85
4521,Charles Burns,41,Metro,22,58,1,58,Bachelor,115135.55
231,Dillon Hines,56,Metro,30,36,0,73,Highschool,111829.01
3277,Jamie Miller,23,Metro,19,39,1,62,Master,101551.06
3231,Anthony Acevedo,60,Metro,9,37,1,96,PhD,129663.74
692,Angela Beard,38,Metro,7,30,0,84,Bachelor,92596.11
2755,Cameron Sutton MD,53,Metro,20,50,0,65,Master,111587.13
4864,Debra Singh,50,Seoul,10,40,0,81,Highschool,105704.92
970,Jordan Erickson,29,Seoul,7,55,1,58,Highschool,75960.51
634,Deborah Wilson,59,Seoul,9,52,1,87,Highschool,118178.01
4093,Ricky Richard,44,Rural,12,47,0,99,PhD,113975.5
4078,Renee Jones,51,Rural,4,32,0,53,Bachelor,72924.75
1322,Scott Castro,26,Metro,3,41,1,96,Master,88485.89
1832,Stephanie Harrison,55,Metro,22,41,1,67,Highschool,116630.5
2179,Jesse Krause,34,Metro,1,60,1,53,Master,100492.49
1418,James Lyons,51,Seoul,0,52,0,71,Master,111662.12
1783,Mrs. Laurie Nielsen MD,59,Rural,12,34,0,89,Highschool,85146.52
4716,Dana Woods,58,Seoul,9,33,0,72,Highschool,103021.04
4702,Marcus Mcclain,55,Seoul,7,31,1,63,Bachelor,94820.22
4119,Christopher Long,23,Seoul,24,38,0,98,Bachelor,96527.3
1653,Barry Brown,36,Seoul,27,58,0,56,Master,124815.59
1484,Fred Berry,37,Metro,15,30,0,89,Master,99977.66
2276,Scott Perez,33,Metro,29,54,0,91,PhD,134432.32
878,Brenda Wheeler,35,Metro,20,58,0,98,PhD,120043.85
3526,Jason Peterson,22,Rural,14,48,1,94,Bachelor,84777.63
2017,Jessica Kent,55,Metro,8,44,1,97,Highschool,103376.85
427,Jason Matthews,33,Seoul,20,54,0,96,Highschool,104740.14
627,Joel Long,42,Seoul,30,35,0,82,Bachelor,110130.14
1590,Todd Hunter,41,Metro,29,52,0,64,Highschool,99815.85
2224,Denise Miller,26,Rural,19,44,0,53,Highschool,78424.37
2218,James Stewart,32,Seoul,4,32,1,87,Bachelor,92875.36
4484,Jenna Chavez,49,Metro,2,48,1,65,Master,99546.8
1486,Joanne Ruiz,41,Seoul,25,56,0,93,Master,115851.46
1740,Jay Gutierrez,42,Metro,11,30,1,63,Highschool,82932.95
2481,Randy Cox,47,Metro,10,54,0,80,PhD,113337.89
2585,Mary Farley,53,Metro,12,37,1,78,PhD,124176.58
2894,Gloria Ortiz,59,Metro,17,35,1,90,Bachelor,130467.66
150,Sandra Murphy DVM,34,Seoul,21,45,1,94,Bachelor,105722.45
677,Rebecca Fields,39,Metro,27,32,1,67,Master,112792.25
1262,Jacqueline Gonzalez,46,Seoul,27,60,1,64,Bachelor,135012.98
4918,Lisa King,48,Seoul,16,35,1,60,PhD,120443.97
13,Ricardo Herrera,45,Rural,9,50,0,64,Bachelor,92399.9
1834,Chris Barnett,36,Seoul,3,54,0,66,Highschool,83846.45
3249,Tracy Morales,32,Rural,6,41,1,80,Master,83536.38
1492,Katherine Little,59,Metro,12,47,1,58,Bachelor,108468.3
2728,Donna Parker,51,Rural,19,38,1,73,PhD,116023.75
3687,Anita Holmes,41,Rural,25,45,1,74,Bachelor,109578.12
1425,David Collins DVM,51,Rural,8,57,0,81,Bachelor,101262.97
4606,Beth Rice,42,Seoul,22,41,0,82,Highschool,112024.35
4596,Dana Miles,42,Metro,21,59,0,81,Master,115627.18
732,Sheila Moreno,47,Rural,4,43,0,82,Bachelor,91130.55
1232,Shelby Chung,28,Metro,8,57,0,63,Bachelor,90327.2
1635,Nathan Hunter,25,Seoul,6,48,1,58,Master,90013.05
3937,Mary Brown,29,Seoul,9,53,1,56,Master,94658.46
1211,Carrie Clarke,44,Rural,25,60,1,53,PhD,135233.65
3269,Susan Malone,56,Metro,21,48,1,97,Highschool,126288.83
1935,Brian Carlson,39,Rural,5,57,1,91,Master,96811.89
554,Anthony Barton,54,Rural,12,36,0,61,Master,109913.04
492,Dawn Hernandez,26,Seoul,9,53,0,90,PhD,111654.35
2963,David Williams,30,Rural,19,46,1,50,Bachelor,83258.79
2330,Dennis Hernandez,48,Metro,29,49,0,71,Master,124617.65
2196,Deanna Johnson,44,Seoul,0,38,0,54,Master,96274.68
3065,Daniel Smith,33,Seoul,1,30,0,90,Bachelor,74041.94
658,Joshua Ryan,24,Seoul,29,36,0,68,Bachelor,101209.76
2375,Pamela Burnett,25,Seoul,7,57,0,85,Bachelor,93105.28
2226,Benjamin Watson,53,Seoul,9,40,1,87,Highschool,106701.08
4265,William Rosario,41,Rural,27,48,0,72,Bachelor,100490.32
1171,Aaron Barton,55,Metro,30,45,0,57,Highschool,104738.06
133,Danielle Cunningham,53,Seoul,6,51,1,94,Bachelor,113161.87
472,Richard Parks,46,Metro,17,31,0,92,Highschool,91763.0
3226,Brenda Morgan,40,Seoul,4,31,0,97,Master,98212.88
1406,Steven Johnson,60,Seoul,5,44,0,67,Highschool,95428.22
2877,Dr. Clifford Briggs,59,Seoul,22,58,1,91,Master,136511.39
4505,Stephanie Haynes,37,Rural,13,55,0,81,Master,91586.87
4693,Samuel Pruitt,37,Seoul,15,33,1,94,PhD,119596.39
2827,Traci Bennett,33,Seoul,12,57,1,53,Bachelor,102308.22
288,John Buck,50,Rural,4,53,0,75,PhD,105901.89
1870,Brandi Marks,32,Metro,19,32,0,73,Master,101137.14
3115,Jack Marquez,55,Seoul,22,55,1,89,Bachelor,144258.09
3626,Sierra Carr,54,Seoul,27,49,0,68,Bachelor,121597.34
2313,Brian Brooks,46,Metro,16,44,1,62,PhD,127936.77
4924,Rhonda Myers,59,Metro,16,33,0,68,Bachelor,105262.82
1619,Jennifer Washington,53,Seoul,27,59,0,98,Bachelor,124041.86
995,Eric Pena,32,Seoul,1,32,1,53,Bachelor,82019.93
1804,Madeline Rodriguez,42,Rural,27,38,1,80,Highschool,106669.09
2643,Angela Lloyd,32,Seoul,17,57,0,71,Master,111496.68
4803,Cynthia Mckenzie,37,Seoul,2,59,1,98,Master,112608.08
3536,Catherine Ruiz,24,Metro,24,50,1,57,Master,109918.24
4832,Tommy Ramirez,53,Rural,22,42,0,88,Highschool,95416.63
3912,Katherine Edwards,38,Rural,20,60,1,56,Highschool,94042.93
2108,Michael Curtis,31,Seoul,19,40,1,66,Bachelor,102868.42
3045,Brian Fernandez,38,Seoul,27,59,0,63,Highschool,108576.3
417,Alicia Munoz,49,Seoul,18,60,0,89,Bachelor,117469.33
978,Jack Miller,44,Metro,22,43,0,68,Master,109497.5
2418,Richard Weber,38,Metro,10,55,0,53,Bachelor,87715.35
506,Robert Parks,44,Rural,24,60,0,97,Highschool,99931.83
4153,Brandon Williams,56,Rural,12,52,1,70,Master,116295.5
4256,Derrick Garcia,33,Rural,2,57,1,71,Bachelor,78224.75
3942,Ryan Cooper,24,Metro,30,58,1,69,Highschool,105609.32
415,James Gibbs,37,Seoul,21,42,1,56,PhD,129982.67
4149,Maria Gregory,53,Metro,15,54,1,74,PhD,147570.21
1184,Christian Collins,23,Seoul,2,60,1,51,Bachelor,73959.1
486,Jerry Hobbs,28,Rural,19,56,1,54,Bachelor,89409.58
894,Samantha Jones,53,Rural,7,59,0,54,Highschool,89670.16
806,Nathaniel Williams,57,Seoul,21,34,0,76,Highschool,110286.22
556,Amanda Martin,27,Seoul,4,59,0,92,Master,94294.67
3826,Joshua Andrews,30,Metro,2,46,0,99,Bachelor,77679.38
1198,Justin Baker,33,Seoul,21,58,1,64,Highschool,100833.03
4254,Andrea Hoffman,41,Seoul,13,58,0,91,Bachelor,113133.61
4059,Michael Hill,33,Seoul,25,45,1,87,Bachelor,115890.67
1294,Mr. John Williamson DDS,58,Metro,0,45,1,75,Highschool,87650.26
2222,Danny Little,49,Metro,25,60,0,90,Highschool,111522.07
3505,Timothy Fisher,40,Metro,27,48,0,94,Highschool,105322.35
3655,Tammy Smith,29,Metro,29,38,1,91,Bachelor,118720.56
4759,Linda Jennings,51,Rural,30,31,0,92,Highschool,109196.95
3007,Tara Boyd,40,Metro,19,49,1,76,Bachelor,103173.3
2094,Kevin Kent,35,Seoul,16,35,0,85,PhD,116207.88
2188,Jack Becker,49,Seoul,10,48,0,81,Bachelor,110928.99
3037,Alex Booker,48,Rural,26,32,0,100,Bachelor,101541.88
3919,Dorothy Frank,43,Rural,18,54,1,74,Highschool,91747.99
1273,Austin Cohen,39,Seoul,27,60,1,53,Master,138570.21
291,Jennifer Anderson,58,Seoul,24,30,0,86,Highschool,121613.88
4828,Alicia Zhang,27,Metro,6,43,0,69,Highschool,72738.97
253,Matthew Schmidt,37,Seoul,14,37,0,85,Bachelor,94915.36
3246,Barbara Cross,30,Metro,10,39,1,55,Highschool,77758.67
351,Anna Johnson,27,Seoul,20,54,0,95,Bachelor,97140.58
1188,Melissa Young,22,Rural,5,37,1,65,Highschool,64120.66
1962,Heather Norris,53,Metro,4,45,0,83,PhD,122044.38
423,Stephen Nguyen,56,Rural,22,52,0,87,Bachelor,121911.23
91,Candace Kane,49,Seoul,2,44,1,79,Bachelor,96816.66
3730,Anthony Shah,50,Metro,3,50,0,85,Highschool,82232.61
2237,Angela Johnson,23,Metro,25,55,1,95,Bachelor,115396.84
671,Matthew Rosales,32,Rural,17,56,1,81,Bachelor,93764.84
3041,Teresa Hines,28,Seoul,20,47,1,77,Highschool,90359.48
27,Mary Garcia,49,Metro,4,50,0,82,Bachelor,105026.33
430,Karen Rios,54,Seoul,27,53,0,98,Master,150881.95
684,Rose Christensen,45,Rural,22,47,0,56,Bachelor,90608.52
4464,Michael Waters,42,Seoul,0,58,0,88,Highschool,88061.96
3946,Troy Griffin,55,Rural,15,30,0,75,Bachelor,104888.37
3524,Wendy Matthews,56,Metro,2,48,0,84,Bachelor,92351.9
1542,Kelli Johnson,46,Rural,15,52,0,80,Highschool,101480.0
2032,Jeremy Savage,25,Metro,7,31,0,63,Bachelor,76459.91
2233,Amanda Nichols,52,Metro,25,58,1,60,Highschool,114941.03
4121,Nicole Coleman,32,Rural,4,43,0,64,PhD,85549.58
3236,Samantha Small,56,Metro,6,52,0,56,Highschool,86105.0
255,Candace Price,54,Metro,15,46,0,56,Master,107118.91
1030,Lynn Potter,50,Seoul,20,45,0,100,Bachelor,128949.1
4393,Daniel Henry,25,Metro,12,39,1,93,Highschool,82576.32
3801,Dawn Kramer,44,Metro,28,58,0,74,Master,123483.38
4311,David Henderson,52,Metro,14,35,1,80,PhD,138605.53
2510,Derek Murphy,27,Seoul,3,49,0,70,Master,85461.84
2293,Jared Randall,39,Seoul,8,46,1,99,Bachelor,106512.45
1324,Andrew Mitchell,44,Rural,13,36,1,73,Bachelor,86985.92
1551,Tina Ward,53,Rural,11,39,0,85,Bachelor,89566.04
4648,Keith Escobar,34,Seoul,9,47,0,79,Bachelor,101211.98
316,Charles Hardy,30,Seoul,4,54,0,81,Highschool,80911.1
1243,Ms. Jade Rodriguez,60,Metro,2,54,1,68,Highschool,95162.36
2451,Teresa Hendrix,28,Metro,17,43,1,79,PhD,119880.64
1579,Michael Edwards,27,Metro,14,33,0,77,PhD,100739.9
4626,Rebecca Harper,36,Metro,25,48,0,88,Highschool,99845.69
3117,Julie Watts,59,Metro,17,48,1,65,Bachelor,129488.56
